observation_start_date,observation_end_date,county_name,cbsa_name,cbsa_type,area_id,cbsa_id,inflow,outflow,income_diff,lat,lon
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086005302,33100,40,57,8874.0,25.769778572891511,-80.211061691549
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003704,33100,40,14,8244.2,25.773384198818402,-80.191540008063811
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086012300,33100,57,80,-28919.2,25.951930466407262,-80.333267233601092
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086018200,33100,0,14,,25.665481233697008,-80.475734896431788
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000217,33100,0,41,,25.910520723199603,-80.1764740248817
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086005406,33100,58,67,4076.8,25.776179935859982,-80.225716219215528
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008901,33100,28,0,-565.9,25.754920227783217,-80.328086585655356
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003913,33100,33,22,20462.0,25.859095408383233,-80.1244493879938
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086009040,33100,94,63,4328.4,25.855379874569888,-80.35410234634206
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000130,33100,10,60,70231.0,25.913509017100107,-80.122497988153739
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086002402,33100,24,37,16703.0,25.798211329945467,-80.231669310773142
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003100,33100,29,91,19492.1,25.792432720013736,-80.201503300588428
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086004105,33100,23,55,36293.0,25.802987043787716,-80.125077189096032
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000706,33100,17,0,1166.0,25.860929534754021,-80.310695167251112
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000501,33100,20,90,-9459.0,25.9200325859833,-80.269017837706983
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001004,33100,55,43,810.0,25.843268926602008,-80.222793638145063
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000601,33100,23,57,6294.0,25.876024736385908,-80.272982548338
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086011300,33100,35,30,11143.8,25.465568363755672,-80.485598325204208
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003601,33100,18,45,71458.0,25.776728134815215,-80.200778431100844
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003001,33100,107,73,15843.0,25.787802078115291,-80.2106690208726
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000211,33100,22,69,46160.0,25.941499838289637,-80.155871524067237
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001206,33100,0,99,,25.864771646796143,-80.168438021298471
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000308,33100,15,64,153959.0,25.895114949574062,-80.198875124615356
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086013200,33100,53,81,741.7,25.887766091943892,-80.34542565063353
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008702,33100,37,36,-24333.5,25.725285325058312,-80.366196043200688
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086007807,33100,24,15,36688.3,25.675914145503206,-80.310716693991949
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086014200,33100,13,0,5889.0,25.7760192721968,-80.412829934839309
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086002705,33100,64,0,-26482.4,25.807769998918374,-80.175438621306512
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006602,33100,51,32,14880.0,25.76526307030927,-80.1999268239128
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001104,33100,0,21,,25.862525280699536,-80.191005645486769
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086002703,33100,84,38,25451.5,25.793245678589649,-80.17671835332898
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086009703,33100,23,18,-39423.0,25.968689611085175,-80.156495539920826
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000603,33100,23,16,1804.0,25.865924527149957,-80.281836470940249
